from	to	type
DLG2	KIF20A	Shared
KIF20A	F2R	Shared
BRINP3	ELMO1	Shared
BRINP3	ITPR1	Normal-specific
GABRG1	ITPR1	Shared
CD24	ITPR1	Shared
ENPP2	ITPR1	Shared
CALN1	ITPR1	Shared
DLG2	ITPR1	Shared
ELMO1	ITPR1	Shared
ITPR1	ABAT	Shared
CD24	F2R	Shared
B4GALT6	F2R	Shared
CYP1B1	F2R	Shared
F2R	ABAT	Shared
SEMA3A	STXBP5L	Shared
PTPRO	STXBP5L	Shared
CLVS2	STXBP5L	Shared
HIST1H3I	STXBP5L	Shared
PDE4DIP	STXBP5L	Shared
HIST1H3B	STXBP5L	Shared
HIST1H4L	STXBP5L	Shared
RBFOX1	STXBP5L	Shared
CALN1	STXBP5L	Shared
RASGRF1	STXBP5L	Shared
DLG2	STXBP5L	Shared
SLC7A14	STXBP5L	Shared
F2R	STXBP5L	Normal-specific
